,Unnamed: 0,original_image,cropped_img_name,taxonomy_cat,color_tonks,color_prob,pattern_tonks,pattern_prob
0,0,fall_outfit_flatlay_00000000.jpg,fall_outfit_flatlay_00000000_2.jpg,bottom,navy,0.9999849796,melange,0.9994357228
1,1,fall_outfit_flatlay_00000001.jpg,fall_outfit_flatlay_00000001_3.jpg,bottom,grey,0.9996939898,plaid,0.9341333508
2,2,fall_outfit_flatlay_00000006.jpg,fall_outfit_flatlay_00000006_2.jpg,bottom,blue,0.9670160413,melange,0.9265571237
3,3,fall_outfit_flatlay_00000007.jpg,fall_outfit_flatlay_00000007_2.jpg,bottom,navy,0.9999929667,melange,0.9994037151
4,4,fall_outfit_flatlay_00000008.jpg,fall_outfit_flatlay_00000008_3.jpg,bottom,blue,0.9992702603,melange,0.9981624484
5,5,fall_outfit_flatlay_00000009.jpg,fall_outfit_flatlay_00000009_3.jpg,bottom,blue,0.98358953,geometric,0.9668153524
6,6,fall_outfit_flatlay_00000013.jpg,fall_outfit_flatlay_00000013_3.jpg,bottom,navy,0.9999990463,melange,0.9985697269
7,7,fall_outfit_flatlay_00000014.jpg,fall_outfit_flatlay_00000014_2.jpg,bottom,blue,0.9999872446,geometric,0.9719892144
8,8,fall_outfit_flatlay_00000020.jpg,fall_outfit_flatlay_00000020_0.jpg,bottom,red,1,plaid,1
9,9,fall_outfit_flatlay_00000021.jpg,fall_outfit_flatlay_00000021_2.jpg,bottom,blue,0.7453296185,geometric,0.4433833361
10,10,fall_outfit_flatlay_00000025.jpg,fall_outfit_flatlay_00000025_3.jpg,bottom,navy,0.9999929667,striped,0.9999432564
11,11,fall_outfit_flatlay_00000032.jpg,fall_outfit_flatlay_00000032_3.jpg,bottom,blue,0.9997269511,melange,0.994820714
12,12,fall_outfit_flatlay_00000039.jpg,fall_outfit_flatlay_00000039_2.jpg,bottom,black,0.9972502589,plaid,0.8576700091
13,13,fall_outfit_flatlay_00000040.jpg,fall_outfit_flatlay_00000040_3.jpg,bottom,navy,0.999999404,plaid,0.4574999809
14,14,fall_outfit_flatlay_00000049.jpg,fall_outfit_flatlay_00000049_2.jpg,bottom,blue,1,striped,0.709467411
15,15,fall_outfit_flatlay_00000051.jpg,fall_outfit_flatlay_00000051_2.jpg,bottom,grey,0.9472116828,melange,0.9884038568
16,16,fall_outfit_flatlay_00000057.jpg,fall_outfit_flatlay_00000057_2.jpg,bottom,navy,0.9999679327,striped,0.9004369974
17,17,fall_outfit_flatlay_00000061.jpg,fall_outfit_flatlay_00000061_3.jpg,bottom,grey,0.5525453687,plaid,0.9352393746
18,18,fall_outfit_flatlay_00000062.jpg,fall_outfit_flatlay_00000062_2.jpg,bottom,black,0.9757834077,cheetah,0.9998509884
19,19,fall_outfit_flatlay_00000066.jpg,fall_outfit_flatlay_00000066_2.jpg,bottom,blue,0.9936277866,melange,0.8779832125
20,20,fall_outfit_flatlay_00000069.jpg,fall_outfit_flatlay_00000069_2.jpg,bottom,yellow,0.9591315985,melange,0.8214686513
21,21,fall_outfit_flatlay_00000071.jpg,fall_outfit_flatlay_00000071_2.jpg,bottom,black,1,solid,0.9992448092
22,22,fall_outfit_flatlay_00000072.jpg,fall_outfit_flatlay_00000072_3.jpg,bottom,blue,1,camo,0.9589004517
23,23,fall_outfit_flatlay_00000073.jpg,fall_outfit_flatlay_00000073_3.jpg,bottom,navy,0.9999995232,melange,0.999507308
24,24,fall_outfit_flatlay_00000078.jpg,fall_outfit_flatlay_00000078_0.jpg,bottom,navy,1,melange,0.9983956218
25,25,fall_outfit_flatlay_00000079.jpg,fall_outfit_flatlay_00000079_3.jpg,bottom,grey,0.9999742508,camo,0.5995112658
